year,ISO_code,countries,region,pf_rol,pf_religion_restrictions,pf_religion,pf_expression_control,pf_expression,pf_score,pf_rank,ef_money_inflation,ef_money_currency,ef_money,ef_score,ef_rank,hf_score,hf_rank,hf_quartile,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
2010,SGP,Singapore,South Asia,8.3,3.055555556,4.757777778,4.25,5.654761905,7.445439321,69,9.44,10,8.912042389,8.76,2,8.10271966,28,1,60,12,11,1.5
2010,SVK,Slovak Rep.,Eastern Europe,6.288422,8.15,9.238888889,7.75,9.392857143,8.776369704,30,9.808596373,10,9.81047569,7.47,29,8.123184852,27,1,196,293,116,11.4
2010,SVN,Slovenia,Eastern Europe,6.7,6.25,7.09962963,7.5,9.261904762,8.620038903,37,9.631806931,10,9.549126496,6.82,81,7.720019452,44,2,270,51,276,10.6
2010,ZAF,South Africa,Sub-Saharan Africa,5.4,6.525,8.021296296,6.5,9.071428571,6.798161376,95,9.146830953,5,8.184520072,7.05,65,6.924080688,80,3,225,76,81,8.2
2010,ESP,Spain,Western Europe,7.3,9.444444444,9.553333333,6.75,9.345238095,9.17240006,12,9.640051966,10,9.669239144,7.32,43,8.24620003,21,1,284,157,112,10
2010,LKA,Sri Lanka,South Asia,5.2,8.516666667,8.95,2.5,7.833333333,6.570649701,103,8.811865227,0,6.548185698,6.63,92,6.60032485,105,3,16,104,0,2.2
2010,SDN,Sudan,Sub-Saharan Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,13,0,1.7
2010,SUR,Suriname,Latin America & the Caribbean,5.376934,5.227777778,6.483888889,7,8.916666667,7.852176863,53,8.611042541,10,8.819796644,6.64,91,7.246088431,60,2,128,178,7,5.6
2010,SWZ,Swaziland,Sub-Saharan Africa,4.832763,9.538888889,9.399444444,3.25,6.3125,5.852716089,128,9.860297977,5,7.88665934,6.41,104,6.131358044,124,4,90,2,2,4.7
2010,SWE,Sweden,Western Europe,8.5,7.216666667,8.884814815,8.75,9.726190476,9.43860508,4,9.768402395,10,9.644369225,7.58,22,8.50930254,9,1,152,60,186,7.2
2010,CHE,Switzerland,Western Europe,7.920938,8.888888889,9.265925926,9.25,9.654761905,9.336282886,6,9.860297977,10,9.390771388,8.3,4,8.818141443,3,1,185,100,280,10.2
2010,SYR,Syria,Middle East & North Africa,4.832763,7.497222222,7.313888889,1.5,3.935496062,5.148591923,148,9.120517234,5,7.276266678,5.96,129,5.554295962,142,4,5,35,16,1
2010,TWN,Taiwan,East Asia,6.859803,4.533333333,6.573703704,7.75,9.345238095,8.294906783,43,9.806643055,10,9.634373956,7.7,15,7.997453391,35,1,NA,NA,NA,NA
2010,TJK,Tajikistan,Caucasus & Central Asia,3.880462,10,9.777777778,3,6.166666667,7.535268294,66,8.716086981,5,7.513290235,6.28,113,6.907634147,81,3,2,15,0,0.3
2010,TZA,Tanzania,Sub-Saharan Africa,4.7,5.927777778,7.801481481,6,7.19047619,6.479170303,107,8.759968809,5,7.711271388,6.7,87,6.589585152,107,3,NA,NA,NA,NA
2010,THA,Thailand,South Asia,5.6,6.527777778,7.72962963,3,6.241552319,7.748105459,56,9.337799043,0,7.056335432,6.65,90,7.199052729,64,2,99,258,1,6.4
2010,TLS,Timor-Leste,South Asia,3.83965,5.277777778,6.758888889,7.25,8.395833333,7.487092491,67,8.64680464,10,8.743734707,6,127,6.743546245,93,3,1,1,4,0.1
2010,TGO,Togo,Sub-Saharan Africa,4.247778,8.705555556,8.571851852,3,6.952380952,5.79978738,130,9.633166134,0,6.690376568,5.55,140,5.67489369,139,4,36,2,19,1.3
2010,TTO,Trinidad and Tobago,Latin America & the Caribbean,5.200079,8.983333333,9.177222222,7.25,8.8125,6.840401694,92,7.890522101,10,8.056619077,6.61,95,6.725200847,94,3,197,156,7,6.4
2010,TUN,Tunisia,Middle East & North Africa,5.2,3.747222222,4.393148148,1.75,4.544306326,5.687479202,134,9.116746207,0,6.853003718,6.49,101,6.088739601,125,4,51,3,20,1.3
2010,TUR,Turkey,Middle East & North Africa,4.8,5.458333333,5.646851852,4.75,6.021096811,7.152000169,86,8.286711159,10,8.856788633,6.83,80,6.991000084,75,2,51,22,7,1.4
2010,UGA,Uganda,Sub-Saharan Africa,4.1,7.777777778,6.970740741,4.75,7.502799159,5.60618749,136,9.204689423,10,8.712451742,7.44,34,6.523093745,110,3,45,9,0,8.3
2010,UKR,Ukraine,Eastern Europe,4.7,6.666666667,8.142962963,5,8.523809524,7.696264052,59,8.124282104,0,5.597861901,5.9,134,6.798132026,89,3,206,237,45,8.9
2010,ARE,United Arab Emirates,Middle East & North Africa,6.5,4.855555556,5.677407407,4,6.571428571,5.86176948,127,9.824,10,8.316773352,7.56,23,6.71088474,98,3,16,135,5,2.8
2010,GBR,United Kingdom,Western Europe,7.7,5.186111111,6.997592593,8,9.428571429,9.012806143,21,9.342857143,10,9.584279701,7.89,8,8.451403071,10,1,219,126,195,10.4
